Line #,Name,Description,Designator,Quantity,Manufacturer Part Number,Manufacturer,Package

"","CL21A106KAYNNNE","25V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1, C2, C7","3","CL21A106KAYNNNE","Samsung Electro-Mechanics","0805"
"","CL31A476MPHNNNE","10V 47uF X5R ±20% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C3, C12","2","CL31A476MPHNNNE","Samsung Electro-Mechanics","1206"
"","CL05B104KB54PNC","50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C4, C6, C9, C10, C11, C14, C15, C16, C18, C19","10","CL05B104KB54PNC","Samsung Electro-Mechanics","0402"
"","0402CG470J500NT","50V 47pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C5","1","0402CG470J500NT","FH (Guangdong Fenghua Advanced Tech)","0402"
"","0402B102K500NT","50V 1nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C8","1","0402B102K500NT","FH (Guangdong Fenghua Advanced Tech)","0402"
"","0402B223K500NT","50V 22nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C13","1","0402B223K500NT","FH (Guangdong Fenghua Advanced Tech)","0402"
"","UUD1E471MNL1GS","Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 470 uF, 25 V, + / - 20%, -55 to 105 degC, Chip Type, 10 x 10 mm D x L, Pb-Free, Reel","C17","1","","Nichicon",""
"","SD05-7","TVS UNI14.5V 6.2V 5V SOD-323","D1, D2","2","SD05-7","Diodes Incorporated","SOD-323"
"","KT-0805G","Emerald 0805  Light Emitting Diodes (LED) ROHS","D3","1","KT-0805G","Hubei KENTO Elec",""
"","NCD0805R1","Colorless transparence 67mcd~195mcd -30?~+85? 615nm~630nm Red 130° 65mW 0805  Light Emitting Diodes (LED) ROHS","D4","1","NCD0805R1","Foshan NationStar Optoelectronics",""
"","KT-0805Y","Yellow 0805  Light Emitting Diodes (LED) ROHS","D5, D6, D7, D13","4","KT-0805Y","Hubei KENTO Elec",""
"","RB161VAM-20TR","Diode 20 V 1A Surface Mount TUMD2M","D8, D9, D10, D11, D12","5","RB161VAM-20TR","Rohm Semiconductor",""
"","0467001.NRHF","50A SMD Fuse 1A 32V 32V 0603  Fuses ROHS","F1, F2","2","0467001.NRHF","Littelfuse","0603"
"","S2B-PH-SM4-TB(LF)(SN)","Male Header, Pitch 2 mm, 1 x 2 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel","J1, J3","2","","",""
"","S9B-PH-SM4-TB(LF)(SN)","CONN HEADER SMD R/A 9POS 2MM","J2","1","","",""
"","TMPA0503S-3R3MN-D","INDUCTOR 5.3A 3.3uH ±20% SMD Power Inductors ROHS","L1, L2","2","TMPA0503S-3R3MN-D","TAI-TECH",""
"","IRLML5103TRPBF","P-Channel 30 V 760mA (Ta) 540mW (Ta) Surface Mount Micro3™/SOT-23","Q1","1","","",""
"","DMN62D0UT-7","NFET 60 V 320mA (Ta) 230mW (Ta) Surface Mount SOT-523","Q2, Q3","2","","","SOT-523"
"","0402WGF1004TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 1MO 0402  Chip Resistor - Surface Mount ROHS","R1, R5","2","0402WGF1004TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0603WAF3303T5E","100mW Thick Film Resistors ±100ppm/? ±1% 330kO 0603  Chip Resistor - Surface Mount ROHS","R2","1","0603WAF3303T5E","UNI-ROYAL(Uniroyal Elec)","0603"
"","0603WAF2402T5E","100mW Thick Film Resistors ±100ppm/? ±1% 24kO 0603  Chip Resistor - Surface Mount ROHS","R3","1","0603WAF2402T5E","UNI-ROYAL(Uniroyal Elec)","0603"
"","0402WGF1003TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 100kO 0402  Chip Resistor - Surface Mount ROHS","R4","1","0402WGF1003TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0402WGF1502TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 15kO 0402  Chip Resistor - Surface Mount ROHS","R6","1","0402WGF1502TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0402WGF1002TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 10kO 0402  Chip Resistor - Surface Mount ROHS","R7, R8, R12, R13, R14, R23, R27","7","0402WGF1002TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0603WAF0000T5E","100mW Thick Film Resistors ±1% 0O 0603  Chip Resistor - Surface Mount ROHS","R9","1","0603WAF0000T5E","UNI-ROYAL(Uniroyal Elec)","0603"
"","0402WGF3302TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 33kO 0402  Chip Resistor - Surface Mount ROHS","R10, R15","2","0402WGF3302TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0402WGF5102TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 51kO 0402  Chip Resistor - Surface Mount ROHS","R11, R21, R25","3","0402WGF5102TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0402WGF3300TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 330O 0402  Chip Resistor - Surface Mount ROHS","R16, R20, R28","3","0402WGF3300TCE","UNI-ROYAL(Uniroyal Elec)","0402"
"","0402WGF5100TCE","62.5mW Thick Film Resistors ±100ppm/? ±1% 510O 0402  Chip Resistor - Surface Mount ROHS","R17, R18, R22, R24","4","0402WGF5100TCE","UNI-ROYAL(Uniroyal Elec)","0402"
