Altium Designer Pick and Place Locations,,,,,,,
C:\Users\kyleh\FYDP\FYDP_rev2\Project Outputs for Free Documents\Pick Place\Pick Place for FYDP_rev2.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       10/03/24,,,,,,,
Time:       18:45,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C23,CL05B104KB54PNC,TopLayer,CAP0402,74.5861mm,137.9220mm,180,50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
R31,0402WGF1002TCE,TopLayer,RES0402,59.4460mm,82.0398mm,270,62.5mW Thick Film Resistors ±100ppm/? ±1% 10kO 0402  Chip Resistor - Surface Mount ROHS
R25,0402WGF1002TCE,TopLayer,RES0402,76.5250mm,136.0828mm,270,62.5mW Thick Film Resistors ±100ppm/? ±1% 10kO 0402  Chip Resistor - Surface Mount ROHS
U4,MCP73832T-2ACI/OT,TopLayer,FP-C04-091-OT-MFG,57.4500mm,78.6250mm,180,IC LI-ION/LI-POLY CTRLR SOT23-5
R30,0402WGF2201TCE,TopLayer,RES0402,54.5000mm,77.0672mm,90,62.5mW Thick Film Resistors ±100ppm/? ±1% 2.2kO 0402  Chip Resistor - Surface Mount ROHS
R29,0402WGF5100TCE,TopLayer,RES0402,53.4000mm,79.1422mm,90,62.5mW Thick Film Resistors ±100ppm/? ±1% 510O 0402  Chip Resistor - Surface Mount ROHS
Q5,SI3407-TP,TopLayer,SOT23-3,62.4460mm,82.5070mm,0,MOSFET P-CH 30V 4.1A SOT23
Q4,SI3407-TP,TopLayer,SOT23-3,74.0750mm,135.6000mm,90,MOSFET P-CH 30V 4.1A SOT23
D14,KT-0805G,TopLayer,LED_0805_GREEN,57.8750mm,75.3750mm,0,Emerald 0805  Light Emitting Diodes (LED) ROHS
C22,CL21A106KAYNNNE,TopLayer,CAP0805,61.2750mm,78.6500mm,90,25V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C21,CL05B104KB54PNC,TopLayer,CAP0402,54.5000mm,79.0299mm,90,50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
